window_start,window_end,n_nodes,n_edges,density,indeg_centralization,top1_share_in,intercommunity_ratio,modularity,ego_n,ego_m,ego_density,ego_reciprocity
2022-02-09T00:00:00+00:00,2022-02-09T01:00:00+00:00,146,154,0.007274444969296173,0.13946360153256704,0.13636363636363635,,,22.0,21.0,0.09090909090909091,0.0
2022-02-09T01:00:00+00:00,2022-02-09T02:00:00+00:00,143,140,0.0068945139367674576,0.16441913894715812,0.17142857142857143,,,25.0,24.0,0.08,0.0
2022-02-09T02:00:00+00:00,2022-02-09T03:00:00+00:00,87,80,0.010692328254477412,0.13187414500683994,0.15,,,13.0,12.0,0.15384615384615385,0.0
2022-02-09T03:00:00+00:00,2022-02-09T04:00:00+00:00,95,112,0.012541993281075027,0.11759322809425761,0.10714285714285714,,,13.0,12.0,0.15384615384615385,0.0
2022-02-09T04:00:00+00:00,2022-02-09T05:00:00+00:00,82,98,0.014754591990364349,0.16203703703703703,0.14285714285714285,,,15.0,14.0,0.13333333333333333,0.0
2022-02-09T05:00:00+00:00,2022-02-09T06:00:00+00:00,20,14,0.03684210526315789,0.07602339181286549,0.14285714285714285,,,3.0,2.0,0.6666666666666666,0.0
2022-02-09T06:00:00+00:00,2022-02-09T07:00:00+00:00,32,27,0.02721774193548387,0.1774193548387097,0.2222222222222222,,,7.0,6.0,0.2857142857142857,0.0
2022-02-09T07:00:00+00:00,2022-02-09T08:00:00+00:00,7,4,0.09523809523809523,0.1,0.25,,,,,,
2022-02-09T08:00:00+00:00,2022-02-09T09:00:00+00:00,20,24,0.06315789473684211,0.10526315789473684,0.125,,,4.0,3.0,0.5,0.0
2022-02-09T09:00:00+00:00,2022-02-09T10:00:00+00:00,30,29,0.03333333333333333,0.18596059113300492,0.20689655172413793,,,7.0,6.0,0.2857142857142857,0.0
2022-02-09T10:00:00+00:00,2022-02-09T11:00:00+00:00,40,39,0.025,0.05465587044534413,0.07692307692307693,,,3.0,2.0,0.6666666666666666,0.0
2022-02-09T11:00:00+00:00,2022-02-09T12:00:00+00:00,64,49,0.012152777777777778,0.08576548899129545,0.12244897959183673,,,7.0,6.0,0.2857142857142857,0.0
2022-02-09T12:00:00+00:00,2022-02-09T13:00:00+00:00,61,44,0.012021857923497269,0.039265536723163845,0.06818181818181818,,,3.0,2.0,0.6666666666666666,0.0
2022-02-09T13:00:00+00:00,2022-02-09T14:00:00+00:00,62,54,0.014278159703860392,0.06994535519125683,0.09259259259259259,,,6.0,5.0,0.3333333333333333,0.0
2022-02-09T14:00:00+00:00,2022-02-09T15:00:00+00:00,122,92,0.006232217856658989,0.07768595041322314,0.10869565217391304,,,10.0,9.0,0.2,0.0
2022-02-09T15:00:00+00:00,2022-02-09T16:00:00+00:00,114,106,0.008228535941623972,0.09070796460176991,0.10377358490566038,,,10.0,9.0,0.2,0.0
2022-02-09T16:00:00+00:00,2022-02-09T17:00:00+00:00,66,49,0.011421911421911422,0.11514423076923076,0.16326530612244897,,,9.0,8.0,0.2222222222222222,0.0
2022-02-09T17:00:00+00:00,2022-02-09T18:00:00+00:00,57,39,0.012218045112781954,0.07987012987012987,0.1282051282051282,,,6.0,5.0,0.3333333333333333,0.0
2022-02-09T18:00:00+00:00,2022-02-09T19:00:00+00:00,79,72,0.011684518013631937,0.053779553779553776,0.06944444444444445,,,6.0,5.0,0.3333333333333333,0.0
2022-02-09T19:00:00+00:00,2022-02-09T20:00:00+00:00,75,59,0.010630630630630631,0.07238059977786006,0.1016949152542373,,,7.0,6.0,0.2857142857142857,0.0
2022-02-09T20:00:00+00:00,2022-02-09T21:00:00+00:00,49,38,0.016156462585034014,0.09175531914893617,0.13157894736842105,,,6.0,5.0,0.3333333333333333,0.0
2022-02-09T21:00:00+00:00,2022-02-09T22:00:00+00:00,37,24,0.018018018018018018,0.09841269841269841,0.16666666666666666,,,5.0,4.0,0.4,0.0
2022-02-09T22:00:00+00:00,2022-02-09T23:00:00+00:00,34,23,0.020499108734402853,0.10700757575757576,0.17391304347826086,,,5.0,4.0,0.4,0.0
2022-02-09T23:00:00+00:00,2022-02-10T00:00:00+00:00,80,69,0.010917721518987341,0.14459591041869524,0.17391304347826086,,,13.0,13.0,0.16666666666666666,0.0
